Country or Area,Subgroup,Year,Value,Value Footnotes
Slovakia,Female,2002,74.0,No footnotes
Slovakia,Female,2001,74.0,No footnotes
Slovakia,Female,2000,72.0,No footnotes
Slovakia,Female,1999,74.0,No footnotes
Slovenia,Female,2005,80.0,No footnotes
Slovenia,Female,2004,80.0,No footnotes
Slovenia,Female,2003,79.0,No footnotes
Slovenia,Female,2002,81.0,No footnotes
Slovenia,Female,2001,80.0,No footnotes
Slovenia,Female,2000,80.0,No footnotes
Slovenia,Female,1999,80.0,No footnotes
South Africa,Female,2005,71.0,No footnotes
South Africa,Female,2004,71.0,No footnotes
South Africa,Female,2003,70.0,No footnotes
South Africa,Female,2000,71.0,No footnotes
Spain,Female,2005,78.0,No footnotes
Spain,Female,2004,79.0,No footnotes
Spain,Female,2003,77.0,No footnotes
Spain,Female,2002,77.0,No footnotes
Spain,Female,2001,76.0,No footnotes
Spain,Female,2000,76.0,No footnotes
Spain,Female,1999,76.0,No footnotes
Suriname,Female,2002,60.0,No footnotes
Swaziland,Female,2005,52.0,No footnotes
Swaziland,Female,2004,52.0,No footnotes
Swaziland,Female,2001,43.0,No footnotes
Swaziland,Female,2000,51.0,No footnotes
Swaziland,Female,1999,53.0,No footnotes
Sweden,Female,2005,77.0,No footnotes
Sweden,Female,2004,77.0,No footnotes
Sweden,Female,2003,78.0,No footnotes
Sweden,Female,2002,78.0,No footnotes
Sweden,Female,2001,77.0,No footnotes
Sweden,Female,2000,77.0,No footnotes
Sweden,Female,1999,76.0,No footnotes
Switzerland,Female,2005,70.0,No footnotes
Switzerland,Female,2004,70.0,No footnotes
Switzerland,Female,2003,70.0,No footnotes
Switzerland,Female,2002,70.0,No footnotes
Switzerland,Female,2001,69.0,No footnotes
Switzerland,Female,2000,68.0,No footnotes
Switzerland,Female,1999,69.0,No footnotes
Tajikistan,Female,2001,27.0,No footnotes
Tanzania,Female,2005,38.0,No footnotes
Tanzania,Female,1999,21.0,No footnotes
Togo,Female,2000,17.0,No footnotes
Trinidad and Tobago,Female,2004,69.0,No footnotes
Trinidad and Tobago,Female,2001,70.0,No footnotes
Trinidad and Tobago,Female,2000,70.0,No footnotes
Turkey,Female,2005,49.0,No footnotes
Turkey,Female,2004,53.0,No footnotes
Turkey,Female,2003,49.0,No footnotes
Turkey,Female,2002,49.0,No footnotes
Turkey,Female,2001,48.0,No footnotes
Uganda,Female,2004,39.0,No footnotes
Uganda,Female,2001,33.0,No footnotes
Uganda,Female,2000,34.0,No footnotes
Uganda,Female,1999,34.0,No footnotes
United Kingdom,Female,2005,74.0,No footnotes
United Kingdom,Female,2004,74.0,No footnotes
United Kingdom,Female,2003,72.0,No footnotes
United Kingdom,Female,2002,70.0,No footnotes
United Kingdom,Female,2001,71.0,No footnotes
United Kingdom,Female,2000,71.0,No footnotes
United Kingdom,Female,1999,71.0,No footnotes
United States of America,Female,2005,79.0,No footnotes
Vietnam,Female,2003,56.0,No footnotes
Vietnam,Female,2002,56.0,No footnotes
Vietnam,Female,2000,53.0,No footnotes
Vietnam,Female,1999,56.0,No footnotes
