reference_area,time_period,observation_value
Costa Rica,1992,40.40652
Costa Rica,1993,41.24178
Costa Rica,1994,43.14664
Costa Rica,1995,43.26507
Costa Rica,1996,42.84315
Costa Rica,2011,227.65773000000002
Costa Rica,2012,227.986
Costa Rica,2013,231.46396
Costa Rica,2014,234.45107
Croatia,1999,246.11789
Croatia,2000,247.09539999999998
Croatia,2001,248.19864
Croatia,2002,251.05174
Croatia,2003,255.57062000000002
Croatia,2005,265.46028
Croatia,2008,281.65688
Croatia,2009,97.24802
Croatia,2010,95.80647
Croatia,2011,285.03229
Croatia,2012,284.90326
Croatia,2014,278.08555
Cuba,1979,177.9415
Cuba,1986,203.14727
Cuba,1987,201.69609
Cuba,1988,203.92741
Cuba,1989,208.31847
Cuba,1990,208.47050000000002
Cuba,1991,208.47573
Cuba,1992,202.48160000000001
Cuba,1994,181.40131
Cuba,1999,228.97915999999998
Cuba,2000,243.43014
Cuba,2001,249.17899
Cuba,2002,250.00918000000001
Cuba,2003,257.05125999999996
Cuba,2004,256.06174
Cuba,2005,258.87064
Cuba,2006,262.23595
Cuba,2007,260.53752
Cuba,2008,258.13698
Cuba,2009,253.82967
Cuba,2010,263.77414999999996
Cuba,2011,266.45788
Cuba,2012,265.10211
Cuba,2013,268.51053
Cyprus,1975,175.69592
Cyprus,1976,189.12949
Cyprus,1977,190.57497999999998
Cyprus,1978,185.2274
Cyprus,1979,185.78187
Cyprus,1980,186.47668
Cyprus,1981,186.13959
Cyprus,1982,182.71919
Cyprus,1983,182.86338
Cyprus,1994,268.63684
Cyprus,1995,268.69028000000003
Cyprus,1996,268.89083
Cyprus,1997,267.08083
Cyprus,1999,263.52423
Cyprus,2000,264.20354
Cyprus,2001,264.97478
Cyprus,2002,275.1049
Cyprus,2003,278.50212
Cyprus,2004,279.11163
Cyprus,2005,282.36411
Cyprus,2006,282.22888
Cyprus,2007,285.35512
Cyprus,2008,287.45194
Cyprus,2009,286.63461
Cyprus,2010,266.53812
Cyprus,2011,269.09792
Cyprus,2012,275.54839
Cyprus,2013,279.55763
Cyprus,2014,284.17883
Democratic People's Republic of Korea,2009,98.53515
Democratic Republic of the Congo,1992,49.52878
Democratic Republic of the Congo,1993,52.90401
Democratic Republic of the Congo,1994,54.87748
Denmark,1981,264.18236
Denmark,1982,263.59364
Denmark,1983,261.38761
Denmark,1984,255.50494
Denmark,1985,252.03289999999998
Denmark,1986,250.15298
Denmark,1987,250.95315
Denmark,1988,254.19133
Denmark,1989,259.20282000000003
Denmark,1990,261.58081
Denmark,1991,261.61942999999997
Denmark,1992,260.49208
Denmark,1993,259.87997
Denmark,1994,261.46541
Denmark,1995,260.37426
Denmark,1996,262.07003
Denmark,1998,264.00477
Denmark,2000,265.97774
Denmark,2001,268.62742
Denmark,2002,273.36596
Denmark,2003,282.00598
Denmark,2004,273.83136
Denmark,2005,274.99041
Denmark,2006,268.42338
Denmark,2007,267.99448
Denmark,2008,268.23456999999996
Denmark,2009,269.72063
Denmark,2010,270.62917
Denmark,2011,273.8307
Denmark,2012,271.33523
Denmark,2013,271.31577
Denmark,2014,269.52598
Djibouti,1985,27.154510000000002
Djibouti,1986,28.03678
Djibouti,1987,29.88651
Djibouti,1988,28.15588
Djibouti,1997,33.44292
Djibouti,2001,42.54021
