Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Bahamas,Male,2003,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,2002,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,2001,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,2000,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,1999,UNESCO_UIS Database_Sep2007,Number,…,4
Bahrain,Female,2005,UNESCO_UIS Database_Sep2007,Number,12781,
Bahrain,Female,2004,UNESCO_UIS Database_Sep2007,Number,11684,1
Bahrain,Female,2003,UNESCO_UIS Database_Sep2007,Number,11810,
Bahrain,Female,1999,UNESCO_UIS Database_Sep2007,Number,6630,1
Bahrain,Male,2005,UNESCO_UIS Database_Sep2007,Number,6060,
Bahrain,Male,2004,UNESCO_UIS Database_Sep2007,Number,6840,
Bahrain,Male,2003,UNESCO_UIS Database_Sep2007,Number,7269,
Bahrain,Male,1999,UNESCO_UIS Database_Sep2007,Number,4418,5
Bangladesh,Female,2005,UNESCO_UIS Database_Sep2007,Number,304935,
Bangladesh,Female,2004,UNESCO_UIS Database_Sep2007,Number,259165,
Bangladesh,Female,2003,UNESCO_UIS Database_Sep2007,Number,280951,
Bangladesh,Female,2002,UNESCO_UIS Database_Sep2007,Number,273799,
Bangladesh,Female,2001,UNESCO_UIS Database_Sep2007,Number,297265,
Bangladesh,Female,2000,UNESCO_UIS Database_Sep2007,Number,234797,
Bangladesh,Female,1999,UNESCO_UIS Database_Sep2007,Number,228860,
Bangladesh,Male,2005,UNESCO_UIS Database_Sep2007,Number,606665,
Bangladesh,Male,2004,UNESCO_UIS Database_Sep2007,Number,562199,
Bangladesh,Male,2003,UNESCO_UIS Database_Sep2007,Number,596384,
Bangladesh,Male,2002,UNESCO_UIS Database_Sep2007,Number,581540,
Bangladesh,Male,2001,UNESCO_UIS Database_Sep2007,Number,581272,
Bangladesh,Male,2000,UNESCO_UIS Database_Sep2007,Number,491904,
Bangladesh,Male,1999,UNESCO_UIS Database_Sep2007,Number,480364,
Barbados,Female,2001,UNESCO_UIS Database_Sep2007,Number,5640,
Barbados,Female,2000,UNESCO_UIS Database_Sep2007,Number,5838,
Barbados,Female,1999,UNESCO_UIS Database_Sep2007,Number,4786,
Barbados,Male,2001,UNESCO_UIS Database_Sep2007,Number,2339,
Barbados,Male,2000,UNESCO_UIS Database_Sep2007,Number,2236,
Barbados,Male,1999,UNESCO_UIS Database_Sep2007,Number,2129,
Belarus,Female,2005,UNESCO_UIS Database_Sep2007,Number,299984,
Belarus,Female,2004,UNESCO_UIS Database_Sep2007,Number,289517,
Belarus,Female,2003,UNESCO_UIS Database_Sep2007,Number,278862,
Belarus,Female,2002,UNESCO_UIS Database_Sep2007,Number,263271,
